"Remove","Transaction Id","Organization","Item Code","Item Description","Subinventory Name","Locator Name","Lot Number","Lot Expiry","System OnHand","Unit of Measure","Physical Onhand","Adjustment Item Cost"
"","600285","KDH KCH Dubai Hospital Inventory Organization","MC10002","BD CHLORAPREP HI-LITE ORANGE 3ML APPLICATOR [BD[938131[BX/25[","DHHMainWHS Main General Warehouse","0.0.0","4CA883","00-03-2027","75","EA","75","8.00000"
"","612331","KDH KCH Dubai Hospital Inventory Organization","MC10005","SPANDEX CREPE ELASTIC BANDAGE 10CM X 4.5M 12'S[SAFE[101104[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","15062025","03-05-2028","60","EA","0","1.37460"
"","607555","KDH KCH Dubai Hospital Inventory Organization","MC10005","SPANDEX CREPE ELASTIC BANDAGE 10CM X 4.5M 12'S[SAFE[101104[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","2024381","30-11-2029","31","EA","91","1.37460"
"","597771","KDH KCH Dubai Hospital Inventory Organization","MC10006","SPANDEX CREPE ELASTIC BANDAGE 15CM X 4.5M 12'S[SAFE[101106[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","22052025","30-06-2028","48","EA","0","1.86956"
"","597770","KDH KCH Dubai Hospital Inventory Organization","MC10006","SPANDEX CREPE ELASTIC BANDAGE 15CM X 4.5M 12'S[SAFE[101106[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","202412P","12-07-2029","13","EA","0","1.86956"
"","600289","KDH KCH Dubai Hospital Inventory Organization","MC10006","SPANDEX CREPE ELASTIC BANDAGE 15CM X 4.5M 12'S[SAFE[101106[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","2020250208","31-01-2030","12","EA","63","1.86956"
"","607559","KDH KCH Dubai Hospital Inventory Organization","MC10007","GAUZE SWABS NON-STERILE 5X5CM (100'S PACK)[SAFE[103511[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","202407","30-06-2029","6500","EA","7100","0.03035"
"","607558","KDH KCH Dubai Hospital Inventory Organization","MC10007","GAUZE SWABS NON-STERILE 5X5CM (100'S PACK)[SAFE[103511[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","202409","31-08-2029","600","EA","0","0.03035"
"","600300","KDH KCH Dubai Hospital Inventory Organization","MC10009","GAUZE SWABS STERILE 10X10CM (5'S PACK)[SAFE[103523[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","0H6230181","31-03-2028","600","EA","600","0.18000"
"","612338","KDH KCH Dubai Hospital Inventory Organization","MC10012","EESIBAN ELASTICATED SUPPORT BANDAGE 10MTR X 6.75CM SIZE-C[SLIS[70372000[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","KCHTU020-0823","31-07-2028","1","EA","1","22.96000"
"","609938","KDH KCH Dubai Hospital Inventory Organization","MC10016","DISPOSABLE RAZOR W/ PROTECTIVE CAP (50'S BOX)[GNRC[NO REF#[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","","","40","EA","96","0.80000"
"","595373","KDH KCH Dubai Hospital Inventory Organization","MC10020","VOMIT BAG 25 X 25 CM (20'S PACK)[SAFE[100901[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","20241120","19-11-2029","360","EA","400","2.00000"
"","607554","KDH KCH Dubai Hospital Inventory Organization","MC10022","SAFELUBE LUBRICATING JELLY 5ML (100'S BOX)[SAFE[204102[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","20250310","09-03-2028","300","EA","300","0.34904"
"","600310","KDH KCH Dubai Hospital Inventory Organization","MC10025","ACETIC ACID 3% 500ML[IBS[40234[EA/1[","DHHMainWHS Main General Warehouse","0.0.0","19AT3","31-12-2028","1","EA","0","120.00000"
"","602734","KDH KCH Dubai Hospital Inventory Organization","MC10025","ACETIC ACID 3% 500ML[IBS[40234[EA/1[","DHHMainWHS Main General Warehouse","0.0.0","26092024","26-09-2029","1","EA","2","120.00000"
"","602713","KDH KCH Dubai Hospital Inventory Organization","MC10033","URINE COLLECTOR STERILE PAEDIATRIC 200ML[MEDLINE[MDS190510[BOX/50[","DHHMainWHS Main General Warehouse","0.0.0","24353","31-07-2029","171","EA","171","0.76157"
"","595364","KDH KCH Dubai Hospital Inventory Organization","MC10047","MICROTECH ULTRA UNDERPADS 60 X 90CM 15'S PACK[SAFE[104731[PK/15[","DHHMainWHS Main General Warehouse","0.0.0","20240901","01-09-2029","180","EA","180","0.50000"
"","609932","KDH KCH Dubai Hospital Inventory Organization","MC10048","ALWAYS SANITARY PAD MAXI THICK VIOLET LARGE 10'S PACK (10'S PACK)[P&G[NO REF#[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","21052025","31-05-2029","260","EA","300","0.60000"
"","595352","KDH KCH Dubai Hospital Inventory Organization","MC10048","ALWAYS SANITARY PAD MAXI THICK VIOLET LARGE 10'S PACK (10'S PACK)[P&G[NO REF#[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","13062025","13-06-2030","100","EA","0","0.60000"
"","600291","KDH KCH Dubai Hospital Inventory Organization","MC10048","ALWAYS SANITARY PAD MAXI THICK VIOLET LARGE 10'S PACK (10'S PACK)[P&G[NO REF#[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","11102024","11-10-2029","10","EA","0","0.60000"
"","597779","KDH KCH Dubai Hospital Inventory Organization","MC10064","BD MICROLANCE 21G X 25MM THIN GREEN[BECT[301156[BX/100[","DHHMainWHS Main General Warehouse","0.0.0","230705","30-06-2028","700","EA","700","0.12000"
"","602746","KDH KCH Dubai Hospital Inventory Organization","MC10065","BD MICROLANCE 23G X 25MM THIN BLUE[BECT[300800[BX/100[","DHHMainWHS Main General Warehouse","0.0.0","220508","30-04-2027","795","EA","1000","0.09000"
"","595332","KDH KCH Dubai Hospital Inventory Organization","MC10066","BD MICROLANCE 25G X 16MM REGULAR ORANGE[BECT[300600[BX/100[","DHHMainWHS Main General Warehouse","0.0.0","220502","30-04-2027","500","EA","400","0.10765"
